delays,runtime,Model,Dataset
60000,7087.865283727646,ARF,AGR_a
70000,7163.751442193985,ARF,AGR_a
0,2083.654944419861,LB,AGR_a
1000,2116.1405589580536,LB,AGR_a
10000,2107.924892425537,LB,AGR_a
20000,2100.4474773406982,LB,AGR_a
30000,2103.399744033813,LB,AGR_a
40000,2107.9942922592163,LB,AGR_a
50000,2110.0996553897858,LB,AGR_a
60000,2114.0849528312683,LB,AGR_a
70000,2117.9587874412537,LB,AGR_a
0,7860.02010178566,LB_HT,AGR_a
1000,7897.623659133911,LB_HT,AGR_a
10000,7932.215031147003,LB_HT,AGR_a
20000,7987.495579481125,LB_HT,AGR_a
30000,7559.435320138931,LB_HT,AGR_a
40000,7732.559279918671,LB_HT,AGR_a
50000,8132.453340291977,LB_HT,AGR_a
60000,8029.268500089645,LB_HT,AGR_a
70000,7755.723351955414,LB_HT,AGR_a
0,71.15701246261597,LR,AGR_a
1000,72.79977416992188,LR,AGR_a
10000,75.32288217544556,LR,AGR_a
20000,76.23321509361267,LR,AGR_a
30000,78.34095025062561,LR,AGR_a
40000,79.30662393569946,LR,AGR_a
50000,80.87258410453796,LR,AGR_a
60000,83.18748545646667,LR,AGR_a
70000,85.23949456214905,LR,AGR_a
0,267.2407703399658,HAT,AGR_a
1000,270.99880146980286,HAT,AGR_a
10000,287.97841143608093,HAT,AGR_a
20000,284.6728754043579,HAT,AGR_a
30000,287.95839858055115,HAT,AGR_a
40000,284.41632890701294,HAT,AGR_a
50000,289.2516887187958,HAT,AGR_a
60000,284.8913450241089,HAT,AGR_a
70000,303.277946472168,HAT,AGR_a
0,63.16834402084351,HT,AGR_a
1000,70.4435760974884,HT,AGR_a
10000,68.69906902313232,HT,AGR_a
20000,74.67471480369568,HT,AGR_a
30000,71.13029551506042,HT,AGR_a
40000,72.46095848083496,HT,AGR_a
50000,73.2829704284668,HT,AGR_a
60000,74.65247559547424,HT,AGR_a
70000,78.80228185653687,HT,AGR_a
0,2417.372412443161,r_TabSRA,AGR_a
1000,2405.7049086093903,r_TabSRA,AGR_a
10000,2381.475466489792,r_TabSRA,AGR_a
20000,2419.961247444153,r_TabSRA,AGR_a
30000,2449.5816752910614,r_TabSRA,AGR_a
40000,2459.474872112274,r_TabSRA,AGR_a
50000,2461.035429954529,r_TabSRA,AGR_a
60000,2458.5700147151947,r_TabSRA,AGR_a
70000,2439.07310295105,r_TabSRA,AGR_a
0,2458.3111798763275,u_TabSRA,AGR_a
1000,2443.9899938106537,u_TabSRA,AGR_a
10000,2451.066510438919,u_TabSRA,AGR_a
20000,2456.855209112168,u_TabSRA,AGR_a
30000,2472.547020673752,u_TabSRA,AGR_a
40000,2479.0789420604706,u_TabSRA,AGR_a
50000,2467.2573664188385,u_TabSRA,AGR_a
60000,2474.3684129714966,u_TabSRA,AGR_a
70000,2492.0441143512726,u_TabSRA,AGR_a
0,1657.8863155841827,r_EBM,AGR_a
1000,1681.5833966732023,r_EBM,AGR_a
10000,1693.0304656028748,r_EBM,AGR_a
20000,1685.7812497615814,r_EBM,AGR_a
30000,1690.8117353916168,r_EBM,AGR_a
40000,1697.8608145713806,r_EBM,AGR_a
50000,1699.8031072616575,r_EBM,AGR_a
60000,1704.6820232868197,r_EBM,AGR_a
70000,1709.6279683113098,r_EBM,AGR_a
0,3634.365393638611,B_EBM,AGR_a
1000,4441.697143316269,B_EBM,AGR_a
10000,3783.643105983734,B_EBM,AGR_a
20000,4073.9759063720703,B_EBM,AGR_a
30000,4518.752902984619,B_EBM,AGR_a
40000,3874.3067684173584,B_EBM,AGR_a
50000,4083.47407746315,B_EBM,AGR_a
60000,3615.416435241699,B_EBM,AGR_a
70000,3928.453744411469,B_EBM,AGR_a
0,1593.5491263866425,r_XGBoost,AGR_a
1000,1597.292358160019,r_XGBoost,AGR_a
10000,1610.1450595855713,r_XGBoost,AGR_a
20000,1613.4667410850525,r_XGBoost,AGR_a
30000,1614.7323684692385,r_XGBoost,AGR_a
40000,1614.4019107818604,r_XGBoost,AGR_a
50000,1615.1748671531675,r_XGBoost,AGR_a
60000,1619.6517827510834,r_XGBoost,AGR_a
70000,1616.758379459381,r_XGBoost,AGR_a
0,6483.128584384918,B_XGBoost,AGR_a
1000,6517.151588916779,B_XGBoost,AGR_a
10000,6483.727077007294,B_XGBoost,AGR_a
20000,6448.969820976257,B_XGBoost,AGR_a
30000,6401.119255304337,B_XGBoost,AGR_a
40000,6335.487436056137,B_XGBoost,AGR_a
50000,6299.12454867363,B_XGBoost,AGR_a
60000,6250.575902462006,B_XGBoost,AGR_a
70000,6204.529921531677,B_XGBoost,AGR_a
0,993.1213192939758,DT,AGR_a
1000,1003.3473610877992,DT,AGR_a
10000,1010.1174204349518,DT,AGR_a
20000,1015.3491551876068,DT,AGR_a
30000,1017.793220758438,DT,AGR_a
40000,1021.0113310813904,DT,AGR_a
50000,1019.9745829105376,DT,AGR_a
60000,1023.4182102680206,DT,AGR_a
70000,1024.081211090088,DT,AGR_a
0,1353.5492165088654,ARF,HYPER_f
1000,1363.724537372589,ARF,HYPER_f
10000,1354.7639186382294,ARF,HYPER_f
20000,1345.8508245944977,ARF,HYPER_f
30000,1359.3035743236542,ARF,HYPER_f
40000,1362.359351158142,ARF,HYPER_f
50000,1369.5755167007446,ARF,HYPER_f
60000,1378.4677760601044,ARF,HYPER_f
70000,1373.6867966651917,ARF,HYPER_f
0,10807.760974645616,LB,HYPER_f
1000,10820.459105491638,LB,HYPER_f
10000,10823.204254627228,LB,HYPER_f
20000,10805.108400821686,LB,HYPER_f
30000,10777.734877109528,LB,HYPER_f
40000,10808.904908180237,LB,HYPER_f
50000,10811.599528312683,LB,HYPER_f
60000,10820.957461595535,LB,HYPER_f
70000,10847.34357905388,LB,HYPER_f
0,12145.011034965515,LB_HT,HYPER_f
1000,12247.783902168274,LB_HT,HYPER_f
10000,12285.835735559464,LB_HT,HYPER_f
20000,12208.908420801165,LB_HT,HYPER_f
30000,12305.69465470314,LB_HT,HYPER_f
40000,12281.326511144638,LB_HT,HYPER_f
50000,12323.586073637009,LB_HT,HYPER_f
60000,12330.714374542236,LB_HT,HYPER_f
70000,12215.931142807009,LB_HT,HYPER_f
0,106.82465815544128,LR,HYPER_f
1000,109.3142364025116,LR,HYPER_f
10000,114.5806336402893,LR,HYPER_f
20000,118.34669470787048,LR,HYPER_f
30000,120.9569308757782,LR,HYPER_f
40000,123.6369276046753,LR,HYPER_f
50000,126.95207715034483,LR,HYPER_f
60000,130.09869623184204,LR,HYPER_f
70000,132.97277975082395,LR,HYPER_f
0,329.9760136604309,HAT,HYPER_f
1000,337.0837330818176,HAT,HYPER_f
10000,339.2411744594574,HAT,HYPER_f
20000,352.4941730499268,HAT,HYPER_f
30000,353.73409366607666,HAT,HYPER_f
40000,347.90089869499207,HAT,HYPER_f
50000,347.40358448028564,HAT,HYPER_f
60000,365.3080558776856,HAT,HYPER_f
70000,361.07518315315247,HAT,HYPER_f
0,48.91111135482788,HT,HYPER_f
1000,51.64665341377258,HT,HYPER_f
10000,54.38547897338867,HT,HYPER_f
20000,56.20177674293518,HT,HYPER_f
30000,57.39932703971863,HT,HYPER_f
40000,58.96766304969788,HT,HYPER_f
50000,61.00368452072144,HT,HYPER_f
60000,62.3948290348053,HT,HYPER_f
70000,68.04059314727783,HT,HYPER_f
0,2019.0618472099304,r_TabSRA,HYPER_f
1000,2019.2406685352323,r_TabSRA,HYPER_f
10000,2039.0886447429657,r_TabSRA,HYPER_f
20000,2100.0681848526,r_TabSRA,HYPER_f
30000,2047.3073210716248,r_TabSRA,HYPER_f
40000,2032.000242948532,r_TabSRA,HYPER_f
50000,1985.373045682907,r_TabSRA,HYPER_f
60000,2019.4544460773468,r_TabSRA,HYPER_f
70000,2051.631563901901,r_TabSRA,HYPER_f
0,2794.1282517910004,u_TabSRA,HYPER_f
1000,2710.817502975464,u_TabSRA,HYPER_f
10000,2896.691305875778,u_TabSRA,HYPER_f
20000,2797.9310829639435,u_TabSRA,HYPER_f
30000,2878.9312105178838,u_TabSRA,HYPER_f
40000,2852.970435857773,u_TabSRA,HYPER_f
50000,2839.357334852218,u_TabSRA,HYPER_f
60000,2757.148097515106,u_TabSRA,HYPER_f
70000,2881.382705926895,u_TabSRA,HYPER_f
0,1873.270334720612,r_EBM,HYPER_f
1000,1869.1591491699216,r_EBM,HYPER_f
10000,1884.3478336334229,r_EBM,HYPER_f
20000,1880.87717294693,r_EBM,HYPER_f
30000,1896.050185203552,r_EBM,HYPER_f
40000,1891.6474225521088,r_EBM,HYPER_f
50000,1901.0523550510409,r_EBM,HYPER_f
60000,1893.4103384017944,r_EBM,HYPER_f
70000,1904.211131811142,r_EBM,HYPER_f
0,8837.05537557602,B_EBM,HYPER_f
1000,9735.746750593184,B_EBM,HYPER_f
10000,9196.461867332458,B_EBM,HYPER_f
20000,9379.871269464493,B_EBM,HYPER_f
30000,9070.307530879974,B_EBM,HYPER_f
40000,9728.551965236664,B_EBM,HYPER_f
50000,8863.4477891922,B_EBM,HYPER_f
60000,8919.431543588638,B_EBM,HYPER_f
70000,9260.177918672562,B_EBM,HYPER_f
0,1828.6981644630432,r_XGBoost,HYPER_f
1000,1839.762703180313,r_XGBoost,HYPER_f
10000,1852.4447605609892,r_XGBoost,HYPER_f
20000,1849.173947572708,r_XGBoost,HYPER_f
30000,1852.5983021259308,r_XGBoost,HYPER_f
