Batch_len,AVG_DELAY_0,AVG_DELAY_1000,AVG_DELAY_10000,AVG_DELAY_20000,AVG_DELAY_30000,AVG_DELAY_40000,AVG_DELAY_50000,AVG_DELAY_60000,AVG_DELAY_70000,Model,Dataset
9998,0.9915450595113846,0.9915300976846152,0.9915416596283168,0.9915378981368972,0.991535388616772,0.9915429127157792,0.9915416596283168,0.991539152339041,0.991540406169459,ARF,AGR_g
10050,0.992440005632573,0.9924475771767094,0.992416952124456,0.9924158905575612,0.9924180857480536,0.992416536831329,0.9924142295469376,0.9924169659852042,0.9924158458915536,ARF,AGR_g
10103,0.9921112432289604,0.9921228842953592,0.9921101227961916,0.9921113872596128,0.992115600280081,0.9921127040977152,0.9921183315106462,0.9921011269271134,0.9921033828582178,ARF,AGR_g
9927,0.9907523986046488,0.9907647744697192,0.9908036923723932,0.9908135957244328,0.9908034133765248,0.9908011499071364,0.9907732205910256,0.9907955825600704,0.9907956297360798,ARF,AGR_g
10133,0.9912491758417926,0.9913562619040976,0.9912992019760064,0.9912868715404825,0.9912788335548623,0.9912718228155912,0.9912968341371744,0.9913119778169648,0.9912864985153186,ARF,AGR_g
10011,0.9914586476696144,0.9912252197452835,0.9912656072560856,0.9912650747107006,0.9913262390308668,0.9913120412922736,0.9912700798538188,0.991282192410738,0.9913123132665396,ARF,AGR_g
9959,0.9921296807562354,0.9922353056501646,0.9921878338623276,0.9921958988082984,0.9922207647604148,0.9922043976634708,0.9922553548164064,0.9922139153720786,0.9922051436446364,ARF,AGR_g
9972,0.9893961605257876,0.989436977865962,0.9895274120135408,0.989501015304264,0.9894935172721466,0.989462309623724,0.9894593512587516,0.9894777369557114,0.9894832520156818,ARF,AGR_g
10075,0.9873476636631584,0.9879364266828452,0.987897021789485,0.9879220131408092,0.9878802363042458,0.9879321979125716,0.98792313183884,0.987939111960144,0.9879210133169236,ARF,AGR_g
10030,0.9842371452021682,0.9838968618066736,0.9838805079841536,0.9838940091218727,0.98389671114772,0.9839200526236892,0.9839045776952732,0.983870614829572,0.983897899907428,ARF,AGR_g
10063,0.9749956330674358,0.9758656158155328,0.9758739375603456,0.9758448023688012,0.975832581900583,0.9758120543418732,0.9757997013571208,0.9761580234150852,0.976077102568594,ARF,AGR_g
9942,0.9494530013855988,0.9512712820973682,0.9511194903466772,0.9509459521334328,0.9509526282583408,0.9509181229563222,0.9508681903326532,0.9507162161880788,0.9508003907668952,ARF,AGR_g
9841,0.9161343780727892,0.916360995049389,0.9068127169380024,0.9063863733950244,0.9063575125736678,0.9062268811940002,0.9061942453981928,0.906410221410699,0.9063715887804698,ARF,AGR_g
9862,0.8732758362368618,0.8689592407711011,0.8627207650073568,0.8521164908788933,0.8516042911834905,0.8511963389192145,0.8512649341290889,0.8513731549884849,0.8516604806550464,ARF,AGR_g
10116,0.8126307726564239,0.814424077717713,0.7952086309778121,0.7809004276276553,0.760054340946581,0.758586540545019,0.7583770077331009,0.7593992307290824,0.7594678146150928,ARF,AGR_g
10227,0.7775520583189935,0.796599596394483,0.7572176658673061,0.7397924845092945,0.6961806944581503,0.6628670273929247,0.6618791957654946,0.6605332112226767,0.6603515198363368,ARF,AGR_g
10063,0.7880019084007561,0.8081637072622373,0.7815192839594421,0.7305269714582595,0.6849422026413547,0.6385289954854974,0.6138460262534766,0.6126712895322819,0.6126972690136286,ARF,AGR_g
9969,0.8251782044324459,0.8312300714208731,0.8079894342984366,0.7831566389086221,0.6680342053409264,0.6422774464869483,0.5794924470257032,0.5528021880691764,0.5513003388846063,ARF,AGR_g
10181,0.8720383563406712,0.874270329787281,0.8543274769506745,0.8394447027861993,0.7812973115411448,0.6725420664719788,0.6164677067496706,0.5517758577116214,0.5280618170935627,ARF,AGR_g
10036,0.893721041539807,0.8949139691322724,0.9012481632888254,0.8804926387352361,0.8431324620010685,0.7737272972745739,0.6478066170221467,0.6059724108789445,0.5378858535890948,ARF,AGR_g
9925,0.9156956787075098,0.9068840848311984,0.9124266575896942,0.9089345380982772,0.8791010445813852,0.8414918728784958,0.768358919957987,0.641392796178406,0.6128868872075113,ARF,AGR_g
10149,0.916298748116692,0.9111071249126044,0.9079113354674888,0.9155431738577344,0.899524546549259,0.8759156313142606,0.8449837998247312,0.776698039810279,0.6466281632170867,ARF,AGR_g
9995,0.9197740506890868,0.9191929520093296,0.9113634193172222,0.9236731120890604,0.9113775971588162,0.9160100840551864,0.8774719087903007,0.8454516310138251,0.7690963486775004,ARF,AGR_g
9844,0.9249203718798794,0.9195502196571624,0.9147933763093652,0.9264512357828396,0.9170598412666736,0.9226804516882838,0.8852625264240417,0.8941123441097955,0.8428233792753616,ARF,AGR_g
